Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Halt Time,Departure Time,Distance,Distance Traveled,Distance to Next Station,Distance to Destination,Platform Number,Source Station,Source Station Name,Destination Station,Destination Station Name,Coach Count,Coaches
20173,Rani Kamalapati-Rewa Vande Bharat Express,2,NDPM,Narmadapuram,16:18:00,2,16:20:00,68,68.0,18.0,501.0,2,RKMP,Rani Kamalapati,RE,Rewa,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20173,Rani Kamalapati-Rewa Vande Bharat Express,3,ET,Itarsi Junction,16:45:00,10,16:55:00,86,86.0,67.0,483.0,4,RKMP,Rani Kamalapati,RE,Rewa,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20173,Rani Kamalapati-Rewa Vande Bharat Express,4,PPI,Pipariya,17:28:00,2,17:30:00,153,153.0,94.0,416.0,1,RKMP,Rani Kamalapati,RE,Rewa,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20173,Rani Kamalapati-Rewa Vande Bharat Express,5,NU,Narsinghpur,18:28:00,2,18:30:00,247,247.0,84.0,322.0,1,RKMP,Rani Kamalapati,RE,Rewa,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20173,Rani Kamalapati-Rewa Vande Bharat Express,6,JBP,Jabalpur,19:45:00,10,19:55:00,331,331.0,90.0,238.0,2,RKMP,Rani Kamalapati,RE,Rewa,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20173,Rani Kamalapati-Rewa Vande Bharat Express,7,KTE,Katni Junction,21:03:00,2,21:05:00,421,421.0,63.0,148.0,2,RKMP,Rani Kamalapati,RE,Rewa,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20173,Rani Kamalapati-Rewa Vande Bharat Express,8,MYR,Maihar,21:53:00,2,21:55:00,484,484.0,36.0,85.0,1,RKMP,Rani Kamalapati,RE,Rewa,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20173,Rani Kamalapati-Rewa Vande Bharat Express,9,STA,Satna Junction,22:25:00,5,22:30:00,520,520.0,49.0,49.0,2,RKMP,Rani Kamalapati,RE,Rewa,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20173,Rani Kamalapati-Rewa Vande Bharat Express,10,REWA,Rewa,23:35:00,0,--:--:--,569,569.0,0.0,0.0,2,RKMP,Rani Kamalapati,RE,Rewa,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20174,Rewa-Rani Kamalapati Vande Bharat Express,1,REWA,Rewa,--:--:--,0,05:20:00,0,0.0,49.0,569.0,1,RE,Rewa,RKMP,Rani Kamalapati,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20174,Rewa-Rani Kamalapati Vande Bharat Express,2,STA,Satna Junction,06:00:00,5,06:05:00,49,49.0,35.0,520.0,1,RE,Rewa,RKMP,Rani Kamalapati,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20174,Rewa-Rani Kamalapati Vande Bharat Express,3,MYR,Maihar,06:30:00,2,06:32:00,84,84.0,63.0,485.0,2,RE,Rewa,RKMP,Rani Kamalapati,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20174,Rewa-Rani Kamalapati Vande Bharat Express,4,KTE,Katni Junction,07:18:00,2,07:20:00,147,147.0,91.0,422.0,5,RE,Rewa,RKMP,Rani Kamalapati,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20174,Rewa-Rani Kamalapati Vande Bharat Express,5,JBP,Jabalpur,08:25:00,10,08:35:00,238,238.0,84.0,331.0,1,RE,Rewa,RKMP,Rani Kamalapati,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20174,Rewa-Rani Kamalapati Vande Bharat Express,6,NU,Narsinghpur,09:30:00,2,09:32:00,322,322.0,94.0,247.0,2,RE,Rewa,RKMP,Rani Kamalapati,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20174,Rewa-Rani Kamalapati Vande Bharat Express,7,PPI,Pipariya,10:28:00,2,10:30:00,416,416.0,67.0,153.0,2,RE,Rewa,RKMP,Rani Kamalapati,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20174,Rewa-Rani Kamalapati Vande Bharat Express,8,ET,Itarsi Junction,11:50:00,10,12:00:00,483,483.0,18.0,86.0,4,RE,Rewa,RKMP,Rani Kamalapati,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20174,Rewa-Rani Kamalapati Vande Bharat Express,9,NDPM,Narmadapuram,12:18:00,2,12:20:00,501,501.0,68.0,68.0,1,RE,Rewa,RKMP,Rani Kamalapati,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20174,Rewa-Rani Kamalapati Vande Bharat Express,10,RKMP,Rani Kamalapati,13:30:00,0,--:--:--,569,569.0,0.0,0.0,2,RE,Rewa,RKMP,Rani Kamalapati,8,"C7, C6, C5, C4, C3, E1, C2, C1"
20175,Banaras-Agra Cantt Vande Bharat Express,1,BSB,Banaras,--:--:--,0,15:20:00,0,0.0,121.0,572.0,8,BSB,Banaras,AGC,Agra,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20175,Banaras-Agra Cantt Vande Bharat Express,2,PRYJ,Prayagraj Junction,18:45:00,5,18:50:00,121,121.0,194.0,451.0,7,BSB,Banaras,AGC,Agra,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
